0, 0, Header, 1, 2, 480
1, 0, Start_track
1, 0, Copyright_t, "Copyright (c) 2012 Prosonic Studios, LLC"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Title_t, "FNK 4-4 NmlStr BONG"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "FNK_4-4_NmlStr_Bongos_052"
2, 958, Note_on_c, 9, 60, 105
2, 990, Note_on_c, 9, 60, 0
2, 1681, Note_on_c, 9, 60, 105
2, 1710, Note_on_c, 9, 60, 0
2, 2883, Note_on_c, 9, 60, 102
2, 2910, Note_on_c, 9, 60, 0
2, 3599, Note_on_c, 9, 60, 104
2, 3630, Note_on_c, 9, 60, 0
2, 4798, Note_on_c, 9, 60, 106
2, 4830, Note_on_c, 9, 60, 0
2, 5521, Note_on_c, 9, 60, 106
2, 5550, Note_on_c, 9, 60, 0
2, 6723, Note_on_c, 9, 60, 101
2, 6750, Note_on_c, 9, 60, 0
2, 7441, Note_on_c, 9, 60, 103
2, 7470, Note_on_c, 9, 60, 0
2, 7680, End_track
0, 0, End_of_file
